;Country;Year;Life Ladder;LogGDP;SocialSupport;LifeExpectancy;Freedom;Generosity;Corruption;PosAffect;NegAffect;Region;Regime;AreaInK2;Population;PopAnnualGrowthRate;PopDensity;InfantMortalityRate;Christianisme;Islam;Sans-religion;Hindouisme;Bouddhisme;Religions traditionnelles;Autres;Judaisme
10;Afghanistan;2018;2.694;7.692;0.508;52.6;0.374;-0.094;0.928;0.424;0.405;South Asia;Authoritarian;652230;34907481;2.35;53.5;112.32;0.001;0.997;0.0;0.0;0.0;0.0;0.0;0.0
11;Afghanistan;2019;2.375;7.697;0.42;52.4;0.394;-0.108;0.924;0.351;0.502;South Asia;Authoritarian;652230;35739709;2.362;54.8;110.47;0.001;0.997;0.0;0.0;0.0;0.0;0.0;0.0
12;Albania;2007;4.634;9.142;0.821;65.8;0.529;-0.009;0.875;0.553;0.246;Central and Eastern Europe;Flawed democracy;27398;2991573;-0.347;109.2;12.23;0.18;0.8029999999999999;0.013999999999999999;0.0;0.0;0.0;0.002;0.0
13;Albania;2009;5.485;9.262;0.833;66.2;0.525;-0.158;0.864;0.64;0.279;Central and Eastern Europe;Flawed democracy;27398;2983560;0.081;108.9;12.09;0.18;0.8029999999999999;0.013999999999999999;0.0;0.0;0.0;0.002;0.0
14;Albania;2010;5.269;9.303;0.733;66.4;0.569;-0.172;0.726;0.648;0.3;Central and Eastern Europe;Flawed democracy;27398;2989272;0.302;109.1;12.03;0.18;0.8029999999999999;0.013999999999999999;0.0;0.0;0.0;0.002;0.0
15;Albania;2011;5.867;9.331;0.759;66.68;0.487;-0.205;0.877;0.628;0.257;Central and Eastern Europe;Flawed democracy;27398;2998428;0.31;109.4;11.96;0.18;0.8029999999999999;0.013999999999999999;0.0;0.0;0.0;0.002;0.0
16;Albania;2012;5.51;9.347;0.785;66.96;0.602;-0.169;0.848;0.607;0.271;Central and Eastern Europe;Flawed democracy;27398;3007803;0.314;109.8;11.9;0.18;0.8029999999999999;0.013999999999999999;0.0;0.0;0.0;0.002;0.0
17;Albania;2013;4.551;9.359;0.759;67.24;0.632;-0.127;0.863;0.634;0.338;Central and Eastern Europe;Flawed democracy;27398;3017282;0.315;110.1;11.83;0.18;0.8029999999999999;0.013999999999999999;0.0;0.0;0.0;0.002;0.0
18;Albania;2014;4.814;9.378;0.626;67.52;0.735;-0.025;0.883;0.685;0.335;Central and Eastern Europe;Flawed democracy;27398;3026779;0.314;110.5;11.77;0.18;0.8029999999999999;0.013999999999999999;0.0;0.0;0.0;0.002;0.0
19;Albania;2015;4.607;9.403;0.639;67.8;0.704;-0.081;0.885;0.688;0.35;Central and Eastern Europe;Flawed democracy;27398;3036304;0.315;110.8;11.7;0.18;0.8029999999999999;0.013999999999999999;0.0;0.0;0.0;0.002;0.0
20;Albania;2016;4.511;9.437;0.638;68.1;0.73;-0.017;0.901;0.675;0.322;Central and Eastern Europe;Flawed democracy;27398;3045854;0.313;111.2;11.64;0.18;0.8029999999999999;0.013999999999999999;0.0;0.0;0.0;0.002;0.0
21;Albania;2017;4.64;9.476;0.638;68.4;0.75;-0.029;0.876;0.669;0.334;Central and Eastern Europe;Flawed democracy;27398;3055278;0.305;111.5;11.57;0.18;0.8029999999999999;0.013999999999999999;0.0;0.0;0.0;0.002;0.0
22;Albania;2018;5.004;9.518;0.684;68.7;0.824;0.009;0.899;0.713;0.319;Central and Eastern Europe;Flawed democracy;27398;3064357;0.289;111.8;11.51;0.18;0.8029999999999999;0.013999999999999999;0.0;0.0;0.0;0.002;0.0
23;Albania;2019;4.995;9.544;0.686;69.0;0.777;-0.099;0.914;0.681;0.274;Central and Eastern Europe;Flawed democracy;27398;3072944;0.271;112.2;11.45;0.18;0.8029999999999999;0.013999999999999999;0.0;0.0;0.0;0.002;0.0
24;Albania;2020;5.365;9.497;0.71;69.3;0.754;0.007;0.891;0.679;0.265;Central and Eastern Europe;Flawed democracy;27398;3080930;0.248;112.5;11.39;0.18;0.8029999999999999;0.013999999999999999;0.0;0.0;0.0;0.002;0.0
25;Algeria;2011;5.317;9.297;0.81;64.66;0.53;-0.181;0.638;0.55;0.255;Middle East and North Africa;Authoritarian;2381740;36653828;1.931;15.4;24.69;0.002;0.9790000000000001;0.018000000000000002;0.0;0.0;0.0;0.0;0.0
26;Algeria;2012;5.605;9.311;0.839;64.82;0.587;-0.172;0.69;0.604;0.23;Middle East and North Africa;Authoritarian;2381740;37365369;1.915;15.7;24.22;0.002;0.9790000000000001;0.018000000000000002;0.0;0.0;0.0;0.0;0.0
27;Algeria;2017;5.249;9.354;0.807;65.7;0.437;-0.167;0.7;0.642;0.289;Middle East and North Africa;Authoritarian;2381740;40952312;1.697;17.2;21.99;0.002;0.9790000000000001;0.018000000000000002;0.0;0.0;0.0;0.0;0.0
28;Algeria;2018;5.043;9.348;0.799;65.9;0.583;-0.146;0.759;0.591;0.293;Middle East and North Africa;Authoritarian;2381740;41638373;1.626;17.5;21.57;0.002;0.9790000000000001;0.018000000000000002;0.0;0.0;0.0;0.0;0.0
29;Algeria;2019;4.745;9.337;0.803;66.1;0.385;0.005;0.741;0.585;0.215;Middle East and North Africa;Authoritarian;2381740;42305560;1.554;17.8;21.16;0.002;0.9790000000000001;0.018000000000000002;0.0;0.0;0.0;0.0;0.0
30;Angola;2011;5.589;8.946;0.723;52.5;0.584;0.055;0.911;0.659;0.361;Sub-Saharan Africa;Authoritarian;1246700;23499214;3.724;18.8;79.01;0.905;0.002;0.051;0.0;0.0;0.042;0.0;0.0
31;Angola;2012;4.36;8.992;0.753;53.2;0.456;-0.136;0.906;0.558;0.305;Sub-Saharan Africa;Authoritarian;1246700;24407498;3.858;19.6;77.03;0.905;0.002;0.051;0.0;0.0;0.042;0.0;0.0
32;Angola;2013;3.937;9.005;0.722;53.9;0.41;-0.104;0.816;0.658;0.371;Sub-Saharan Africa;Authoritarian;1246700;25353587;3.75;20.3;75.09;0.905;0.002;0.051;0.0;0.0;0.042;0.0;0.0
33;Angola;2014;3.795;9.017;0.755;54.6;0.375;-0.168;0.834;0.579;0.368;Sub-Saharan Africa;Authoritarian;1246700;26314148;3.688;21.1;73.2;0.905;0.002;0.051;0.0;0.0;0.042;0.0;0.0
34;Argentina;2006;6.313;9.942;0.938;66.82;0.733;-0.157;0.852;0.825;0.328;Latin America and Caribbean;Flawed democracy;2736690;39761782;0.954;14.5;12.63;0.852;0.01;0.122;0.0;0.0;0.008;0.003;0.005
35;Argentina;2007;6.073;10.018;0.862;66.94;0.653;-0.141;0.881;0.828;0.279;Latin America and Caribbean;Flawed democracy;2736690;40134011;0.91;14.7;13.32;0.852;0.01;0.122;0.0;0.0;0.008;0.003;0.005
36;Argentina;2008;5.961;10.048;0.892;67.06;0.678;-0.132;0.865;0.823;0.318;Latin America and Caribbean;Flawed democracy;2736690;40531409;1.06;14.8;12.91;0.852;0.01;0.122;0.0;0.0;0.008;0.003;0.005
37;Argentina;2009;6.424;9.977;0.919;67.18;0.637;-0.13;0.885;0.864;0.237;Latin America and Caribbean;Flawed democracy;2736690;40943942;0.966;15.0;12.21;0.852;0.01;0.122;0.0;0.0;0.008;0.003;0.005
38;Argentina;2010;6.441;10.066;0.927;67.3;0.73;-0.126;0.855;0.846;0.211;Latin America and Caribbean;Flawed democracy;2736690;41358093;1.047;15.1;11.92;0.852;0.01;0.122;0.0;0.0;0.008;0.003;0.005
39;Argentina;2011;6.776;10.112;0.889;67.48;0.816;-0.174;0.755;0.84;0.232;Latin America and Caribbean;Flawed democracy;2736690;41791721;1.039;15.3;11.71;0.852;0.01;0.122;0.0;0.0;0.008;0.003;0.005
40;Argentina;2012;6.468;10.091;0.902;67.66;0.747;-0.148;0.817;0.857;0.272;Latin America and Caribbean;Flawed democracy;2736690;42216144;0.982;15.4;10.89;0.852;0.01;0.122;0.0;0.0;0.008;0.003;0.005
41;Argentina;2013;6.582;10.103;0.91;67.84;0.737;-0.13;0.823;0.842;0.254;Latin America and Caribbean;Flawed democracy;2736690;42635451;0.995;15.6;10.93;0.852;0.01;0.122;0.0;0.0;0.008;0.003;0.005
42;Argentina;2014;6.671;10.067;0.918;68.02;0.745;-0.164;0.854;0.857;0.238;Latin America and Caribbean;Flawed democracy;2736690;43057355;0.975;15.7;10.76;0.852;0.01;0.122;0.0;0.0;0.008;0.003;0.005
43;Argentina;2015;6.697;10.083;0.926;68.2;0.881;-0.174;0.851;0.859;0.305;Latin America and Caribbean;Flawed democracy;2736690;43474406;0.953;15.9;10.59;0.852;0.01;0.122;0.0;0.0;0.008;0.003;0.005
44;Argentina;2016;6.427;10.051;0.883;68.4;0.848;-0.192;0.851;0.842;0.312;Latin America and Caribbean;Flawed democracy;2736690;43886223;0.932;16.0;10.42;0.852;0.01;0.122;0.0;0.0;0.008;0.003;0.005
45;Argentina;2017;6.039;10.067;0.907;68.6;0.832;-0.186;0.841;0.809;0.292;Latin America and Caribbean;Flawed democracy;2736690;44292731;0.912;16.2;10.25;0.852;0.01;0.122;0.0;0.0;0.008;0.003;0.005
46;Argentina;2018;5.793;10.032;0.9;68.8;0.846;-0.211;0.855;0.82;0.321;Latin America and Caribbean;Flawed democracy;2736690;44693790;0.891;16.3;10.08;0.852;0.01;0.122;0.0;0.0;0.008;0.003;0.005
47;Argentina;2019;6.086;10.0;0.896;69.0;0.817;-0.211;0.83;0.826;0.319;Latin America and Caribbean;Flawed democracy;2736690;45089449;0.872;16.5;9.92;0.852;0.01;0.122;0.0;0.0;0.008;0.003;0.005
48;Argentina;2020;5.901;9.85;0.897;69.2;0.823;-0.122;0.816;0.764;0.342;Latin America and Caribbean;Flawed democracy;2736690;45479650;0.852;16.6;9.76;0.852;0.01;0.122;0.0;0.0;0.008;0.003;0.005
49;Armenia;2006;4.289;9.044;0.682;64.8;0.52;-0.231;0.85;0.494;0.469;Commonwealth of Independent States;Hybrid regime;28203;3081103;-0.095;109.2;17.57;0.985;0.0;0.013000000000000001;0.0;0.0;0.0;0.001;0.0
50;Armenia;2007;4.882;9.181;0.76;64.9;0.605;-0.251;0.817;0.507;0.412;Commonwealth of Independent States;Hybrid regime;28203;3078608;-0.067;109.2;17.07;0.985;0.0;0.013000000000000001;0.0;0.0;0.0;0.001;0.0
51;Armenia;2008;4.652;9.256;0.709;65.0;0.462;-0.215;0.876;0.521;0.385;Commonwealth of Independent States;Hybrid regime;28203;3076467;-0.073;109.1;16.71;0.985;0.0;0.013000000000000001;0.0;0.0;0.0;0.001;0.0
52;Armenia;2009;4.178;9.111;0.68;65.1;0.441;-0.214;0.882;0.543;0.411;Commonwealth of Independent States;Hybrid regime;28203;3074270;-0.07;109.0;16.7;0.985;0.0;0.013000000000000001;0.0;0.0;0.0;0.001;0.0
53;Armenia;2010;4.368;9.136;0.66;65.2;0.459;-0.176;0.891;0.51;0.426;Commonwealth of Independent States;Hybrid regime;28203;3071974;-0.079;108.9;16.48;0.985;0.0;0.013000000000000001;0.0;0.0;0.0;0.001;0.0
54;Armenia;2011;4.26;9.182;0.705;65.36;0.465;-0.225;0.875;0.475;0.459;Commonwealth of Independent States;Hybrid regime;28203;3069561;-0.078;108.8;15.45;0.985;0.0;0.013000000000000001;0.0;0.0;0.0;0.001;0.0
55;Armenia;2012;4.32;9.249;0.676;65.52;0.502;-0.215;0.893;0.518;0.464;Commonwealth of Independent States;Hybrid regime;28203;3067011;-0.088;108.7;15.13;0.985;0.0;0.013000000000000001;0.0;0.0;0.0;0.001;0.0
56;Armenia;2013;4.277;9.277;0.723;65.68;0.504;-0.195;0.9;0.562;0.45;Commonwealth of Independent States;Hybrid regime;28203;3064086;-0.103;108.6;14.82;0.985;0.0;0.013000000000000001;0.0;0.0;0.0;0.001;0.0
57;Armenia;2014;4.453;9.307;0.739;65.84;0.506;-0.218;0.92;0.581;0.404;Commonwealth of Independent States;Hybrid regime;28203;3060577;-0.127;108.5;14.51;0.985;0.0;0.013000000000000001;0.0;0.0;0.0;0.001;0.0
58;Armenia;2015;4.348;9.334;0.723;66.0;0.551;-0.203;0.901;0.594;0.438;Commonwealth of Independent States;Hybrid regime;28203;3056294;-0.154;108.4;14.2;0.985;0.0;0.013000000000000001;0.0;0.0;0.0;0.001;0.0
59;Armenia;2016;4.325;9.333;0.709;66.3;0.611;-0.17;0.921;0.594;0.437;Commonwealth of Independent States;Hybrid regime;28203;3051140;-0.184;108.2;13.91;0.985;0.0;0.013000000000000001;0.0;0.0;0.0;0.001;0.0
60;Armenia;2017;4.288;9.402;0.698;66.6;0.614;-0.147;0.865;0.625;0.437;Commonwealth of Independent States;Hybrid regime;28203;3045086;-0.213;108.0;13.61;0.985;0.0;0.013000000000000001;0.0;0.0;0.0;0.001;0.0
61;Armenia;2018;5.062;9.451;0.814;66.9;0.808;-0.163;0.677;0.581;0.455;Commonwealth of Independent States;Hybrid regime;28203;3038152;-0.243;107.7;13.33;0.985;0.0;0.013000000000000001;0.0;0.0;0.0;0.001;0.0
62;Armenia;2019;5.488;9.522;0.782;67.2;0.844;-0.172;0.583;0.598;0.43;Commonwealth of Independent States;Hybrid regime;28203;3030310;-0.274;107.4;13.05;0.985;0.0;0.013000000000000001;0.0;0.0;0.0;0.001;0.0
63;Australia;2007;7.285;10.703;0.965;71.72;0.891;0.347;0.513;0.826;0.215;North America and ANZ;Full democracy;7682300;20610385;1.899;2.7;4.29;0.6729999999999999;0.024;0.242;0.013999999999999999;0.027000000000000003;0.006999999999999999;0.008;0.005
64;Australia;2008;7.254;10.719;0.947;71.88;0.916;0.305;0.431;0.826;0.218;North America and ANZ;Full democracy;7682300;21040262;2.226;2.7;4.19;0.6729999999999999;0.024;0.242;0.013999999999999999;0.027000000000000003;0.006999999999999999;0.008;0.005
65;Australia;2010;7.45;10.722;0.955;72.2;0.932;0.317;0.366;0.834;0.22;North America and ANZ;Full democracy;7682300;21839563;1.495;2.8;4.13;0.6729999999999999;0.024;0.242;0.013999999999999999;0.027000000000000003;0.006999999999999999;0.008;0.005
66;Australia;2011;7.406;10.733;0.967;72.3;0.945;0.369;0.382;0.816;0.195;North America and ANZ;Full democracy;7682300;22183001;1.625;2.9;3.79;0.6729999999999999;0.024;0.242;0.013999999999999999;0.027000000000000003;0.006999999999999999;0.008;0.005
67;Australia;2012;7.196;10.754;0.945;72.4;0.935;0.274;0.368;0.811;0.214;North America and ANZ;Full democracy;7682300;22563165;1.773;2.9;3.36;0.6729999999999999;0.024;0.242;0.013999999999999999;0.027000000000000003;0.006999999999999999;0.008;0.005
68;Australia;2013;7.364;10.762;0.928;72.5;0.933;0.269;0.432;0.819;0.177;North America and ANZ;Full democracy;7682300;22946421;1.598;3.0;3.53;0.6729999999999999;0.024;0.242;0.013999999999999999;0.027000000000000003;0.006999999999999999;0.008;0.005
69;Australia;2014;7.289;10.772;0.924;72.6;0.923;0.319;0.442;0.775;0.245;North America and ANZ;Full democracy;7682300;23292143;1.395;3.0;3.32;0.6729999999999999;0.024;0.242;0.013999999999999999;0.027000000000000003;0.006999999999999999;0.008;0.005
70;Australia;2015;7.309;10.779;0.952;72.7;0.922;0.332;0.357;0.79;0.21;North America and ANZ;Full democracy;7682300;23618255;1.386;3.1;3.26;0.6729999999999999;0.024;0.242;0.013999999999999999;0.027000000000000003;0.006999999999999999;0.008;0.005
71;Australia;2016;7.25;10.791;0.942;73.0;0.922;0.239;0.399;0.791;0.236;North America and ANZ;Full democracy;7682300;23980152;1.653;3.1;3.17;0.6729999999999999;0.024;0.242;0.013999999999999999;0.027000000000000003;0.006999999999999999;0.008;0.005
72;Australia;2017;7.257;10.798;0.95;73.3;0.911;0.317;0.411;0.78;0.225;North America and ANZ;Full democracy;7682300;24370179;1.574;3.2;3.12;0.6729999999999999;0.024;0.242;0.013999999999999999;0.027000000000000003;0.006999999999999999;0.008;0.005
73;Australia;2018;7.177;10.811;0.94;73.6;0.916;0.146;0.405;0.759;0.187;North America and ANZ;Full democracy;7682300;24748006;1.503;3.2;3.12;0.6729999999999999;0.024;0.242;0.013999999999999999;0.027000000000000003;0.006999999999999999;0.008;0.005
74;Australia;2019;7.234;10.815;0.943;73.9;0.918;0.121;0.43;0.77;0.202;North America and ANZ;Full democracy;7682300;25113987;1.433;3.3;3.11;0.6729999999999999;0.024;0.242;0.013999999999999999;0.027000000000000003;0.006999999999999999;0.008;0.005
75;Australia;2020;7.137;10.76;0.937;74.2;0.905;0.21;0.491;0.769;0.205;North America and ANZ;Full democracy;7682300;25467706;1.365;3.3;3.1;0.6729999999999999;0.024;0.242;0.013999999999999999;0.027000000000000003;0.006999999999999999;0.008;0.005
76;Austria;2006;7.122;10.842;0.936;70.76;0.941;0.302;0.49;0.823;0.174;Western Europe;Full democracy;82445;8352180;0.332;101.3;3.59;0.804;0.054000000000000006;0.135;0.0;0.002;0.0;0.001;0.002
77;Austria;2008;7.181;10.887;0.935;71.08;0.879;0.291;0.614;0.832;0.173;Western Europe;Full democracy;82445;8406796;0.325;102.0;3.72;0.804;0.054000000000000006;0.135;0.0;0.002;0.0;0.001;0.002
78;Austria;2010;7.303;10.861;0.914;71.4;0.896;0.131;0.546;0.815;0.156;Western Europe;Full democracy;82445;8447901;0.271;102.5;3.95;0.804;0.054000000000000006;0.135;0.0;0.002;0.0;0.001;0.002
79;Austria;2011;7.471;10.887;0.944;71.54;0.939;0.132;0.703;0.789;0.145;Western Europe;Full democracy;82445;8475092;0.372;102.8;3.56;0.804;0.054000000000000006;0.135;0.0;0.002;0.0;0.001;0.002
80;Austria;2012;7.401;10.889;0.945;71.68;0.92;0.118;0.771;0.822;0.157;Western Europe;Full democracy;82445;8512930;0.519;103.3;3.54;0.804;0.054000000000000006;0.135;0.0;0.002;0.0;0.001;0.002
81;Austria;2013;7.499;10.883;0.95;71.82;0.922;0.168;0.679;0.787;0.163;Western Europe;Full democracy;82445;8562327;0.638;103.9;3.51;0.804;0.054000000000000006;0.135;0.0;0.002;0.0;0.001;0.002
82;Austria;2014;6.95;10.882;0.899;71.96;0.885;0.118;0.567;0.78;0.17;Western Europe;Full democracy;82445;8615171;0.593;104.5;3.48;0.804;0.054000000000000006;0.135;0.0;0.002;0.0;0.001;0.002
83;Austria;2015;7.076;10.881;0.928;72.1;0.9;0.099;0.557;0.798;0.164;Western Europe;Full democracy;82445;8664442;0.548;105.1;3.46;0.804;0.054000000000000006;0.135;0.0;0.002;0.0;0.001;0.002
84;Austria;2016;7.048;10.891;0.926;72.4;0.889;0.08;0.524;0.756;0.197;Western Europe;Full democracy;82445;8710175;0.505;105.6;3.44;0.804;0.054000000000000006;0.135;0.0;0.002;0.0;0.001;0.002
85;Austria;2017;7.294;10.908;0.906;72.7;0.89;0.133;0.518;0.748;0.18;Western Europe;Full democracy;82445;8752360;0.462;106.2;3.41;0.804;0.054000000000000006;0.135;0.0;0.002;0.0;0.001;0.002
86;Austria;2018;7.396;10.928;0.912;73.0;0.904;0.053;0.523;0.752;0.226;Western Europe;Full democracy;82445;8790907;0.417;106.6;3.39;0.804;0.054000000000000006;0.135;0.0;0.002;0.0;0.001;0.002
87;Austria;2019;7.195;10.939;0.964;73.3;0.903;0.06;0.457;0.774;0.205;Western Europe;Full democracy;82445;8825644;0.371;107.0;3.37;0.804;0.054000000000000006;0.135;0.0;0.002;0.0;0.001;0.002
88;Austria;2020;7.213;10.851;0.925;73.6;0.912;0.011;0.464;0.769;0.206;Western Europe;Full democracy;82445;8856348;0.323;107.4;3.34;0.804;0.054000000000000006;0.135;0.0;0.002;0.0;0.001;0.002
89;Azerbaijan;2006;4.728;9.17;0.854;61.88;0.772;-0.235;0.774;0.512;0.276;Commonwealth of Independent States;Authoritarian;82629;8919169;1.081;107.9;36.31;0.03;0.9690000000000001;0.0;0.0;0.0;0.0;0.0;0.0
90;Azerbaijan;2007;4.568;9.386;0.753;62.26;0.522;-0.207;0.871;0.521;0.284;Commonwealth of Independent States;Authoritarian;82629;9015038;1.058;109.1;32.92;0.03;0.9690000000000001;0.0;0.0;0.0;0.0;0.0;0.0
91;Azerbaijan;2008;4.817;9.465;0.684;62.64;0.601;-0.029;0.715;0.578;0.227;Commonwealth of Independent States;Authoritarian;82629;9111089;1.062;110.3;31.86;0.03;0.9690000000000001;0.0;0.0;0.0;0.0;0.0;0.0
92;Azerbaijan;2009;4.574;9.534;0.736;63.02;0.498;-0.087;0.754;0.544;0.234;Commonwealth of Independent States;Authoritarian;82629;9206777;1.028;111.4;32.19;0.03;0.9690000000000001;0.0;0.0;0.0;0.0;0.0;0.0
93;Azerbaijan;2010;4.219;9.569;0.687;63.4;0.501;-0.123;0.858;0.527;0.272;Commonwealth of Independent States;Authoritarian;82629;9301693;1.023;112.6;31.43;0.03;0.9690000000000001;0.0;0.0;0.0;0.0;0.0;0.0
94;Azerbaijan;2011;4.68;9.54;0.725;63.64;0.537;-0.105;0.795;0.536;0.258;Commonwealth of Independent States;Authoritarian;82629;9397346;1.023;113.7;30.68;0.03;0.9690000000000001;0.0;0.0;0.0;0.0;0.0;0.0
95;Azerbaijan;2012;4.911;9.549;0.762;63.88;0.599;-0.14;0.763;0.554;0.266;Commonwealth of Independent States;Authoritarian;82629;9493724;1.018;114.9;29.96;0.03;0.9690000000000001;0.0;0.0;0.0;0.0;0.0;0.0
96;Azerbaijan;2013;5.481;9.592;0.77;64.12;0.672;-0.168;0.699;0.619;0.242;Commonwealth of Independent States;Authoritarian;82629;9590337;1.007;116.1;29.25;0.03;0.9690000000000001;0.0;0.0;0.0;0.0;0.0;0.0
97;Azerbaijan;2014;5.252;9.607;0.799;64.36;0.733;-0.208;0.654;0.598;0.22;Commonwealth of Independent States;Authoritarian;82629;9686433;0.987;117.2;28.56;0.03;0.9690000000000001;0.0;0.0;0.0;0.0;0.0;0.0
98;Azerbaijan;2015;5.147;9.606;0.786;64.6;0.764;-0.198;0.616;0.607;0.206;Commonwealth of Independent States;Authoritarian;82629;9781046;0.957;118.4;27.88;0.03;0.9690000000000001;0.0;0.0;0.0;0.0;0.0;0.0
99;Azerbaijan;2016;5.304;9.564;0.777;64.9;0.713;-0.204;0.607;0.598;0.191;Commonwealth of Independent States;Authoritarian;82629;9873095;0.916;119.5;27.21;0.03;0.9690000000000001;0.0;0.0;0.0;0.0;0.0;0.0
100;Azerbaijan;2017;5.152;9.555;0.787;65.2;0.731;-0.225;0.653;0.592;0.198;Commonwealth of Independent States;Authoritarian;82629;9961850;0.874;120.6;26.57;0.03;0.9690000000000001;0.0;0.0;0.0;0.0;0.0;0.0
101;Azerbaijan;2018;5.168;9.562;0.781;65.5;0.772;-0.232;0.561;0.593;0.191;Commonwealth of Independent States;Authoritarian;82629;10047186;0.833;121.6;25.93;0.03;0.9690000000000001;0.0;0.0;0.0;0.0;0.0;0.0
102;Azerbaijan;2019;5.173;9.575;0.887;65.8;0.854;-0.214;0.457;0.643;0.164;Commonwealth of Independent States;Authoritarian;82629;10129069;0.791;122.6;25.31;0.03;0.9690000000000001;0.0;0.0;0.0;0.0;0.0;0.0
103;Bahrain;2009;5.701;10.709;0.904;65.94;0.896;0.037;0.506;0.764;0.422;Middle East and North Africa;Authoritarian;760;1144371;3.178;1505.8;12.59;0.145;0.703;0.019;0.098;0.025;0.0;0.002;0.006
104;Bahrain;2010;5.937;10.706;0.877;66.3;0.862;-0.001;0.715;0.685;0.423;Middle East and North Africa;Authoritarian;760;1180087;2.971;1552.7;12.46;0.145;0.703;0.019;0.098;0.025;0.0;0.002;0.006
105;Bahrain;2011;4.824;10.696;0.908;66.58;0.87;-0.051;0.583;0.544;0.514;Middle East and North Africa;Authoritarian;760;1214703;2.813;1598.3;12.13;0.145;0.703;0.019;0.098;0.025;0.0;0.002;0.006
106;Bangladesh;2006;4.319;7.783;0.672;59.02;0.612;0.068;0.786;0.6;0.321;South Asia;Hybrid regime;130170;140316899;1.225;1078.0;49.85;0.003;0.904;0.0;0.085;0.006;0.0;0.0;0.0
107;Bangladesh;2007;4.607;7.839;0.514;59.44;0.605;0.04;0.806;0.635;0.313;South Asia;Hybrid regime;130170;141908028;1.031;1090.2;47.58;0.003;0.904;0.0;0.085;0.006;0.0;0.0;0.0
108;Bangladesh;2008;5.052;7.886;0.467;59.86;0.606;-0.044;0.802;0.725;0.232;South Asia;Hybrid regime;130170;143350005;0.991;1101.3;45.41;0.003;0.904;0.0;0.085;0.006;0.0;0.0;0.0
109;Bangladesh;2009;5.083;7.924;0.528;60.28;0.631;-0.075;0.776;0.67;0.223;South Asia;Hybrid regime;130170;144899170;1.158;1113.2;43.35;0.003;0.904;0.0;0.085;0.006;0.0;0.0;0.0
110;Bangladesh;2010;4.858;7.967;0.549;60.7;0.659;-0.016;0.774;0.629;0.292;South Asia;Hybrid regime;130170;146553896;1.114;1125.9;41.37;0.003;0.904;0.0;0.085;0.006;0.0;0.0;0.0
111;Bangladesh;2011;4.986;8.018;0.606;61.12;0.838;-0.069;0.757;0.685;0.235;South Asia;Hybrid regime;130170;148179747;1.093;1138.4;39.48;0.003;0.904;0.0;0.085;0.006;0.0;0.0;0.0
112;Bangladesh;2012;4.724;8.07;0.582;61.54;0.668;-0.034;0.765;0.714;0.183;South Asia;Hybrid regime;130170;149790601;1.07;1150.7;38.55;0.003;0.904;0.0;0.085;0.006;0.0;0.0;0.0
